scope,alpha,bandwidth,distance,pan,own_kbps,own_offload,other_offload,sigma2_het,tau,n_h0_test,n_h1,fp,tp,fpr,fpr_lo,fpr_hi,tpr,tpr_lo,tpr_hi,n_undecidable_h0,n_undecidable_h1
global,0.1,100vs100,1300,PAN1,100,140,60,0.01276187,1.74608,50,99,4,33,0.08,0.0315,0.1884,0.3333,0.2482,0.4309,0,0
global,0.01,100vs100,1300,PAN2,100,60,140,0.01276187,3.24356,50,100,0,42,0.0,0.0,0.0714,0.42,0.328,0.5179,0,0
global,0.05,100vs100,1300,PAN2,100,60,140,0.01276187,2.14737,50,100,2,76,0.04,0.011,0.1346,0.76,0.6677,0.8331,0,0
global,0.1,100vs100,1300,PAN2,100,60,140,0.01276187,1.74608,50,100,5,85,0.1,0.0435,0.2136,0.85,0.7672,0.9069,0,0
global,0.01,100vs100,1300,PAN1,100,140,80,0.01276187,3.24356,50,99,0,34,0.0,0.0,0.0714,0.3434,0.2573,0.4412,0,0
global,0.05,100vs100,1300,PAN1,100,140,80,0.01276187,2.14737,50,99,2,65,0.04,0.011,0.1346,0.6566,0.5588,0.7427,0,0
global,0.1,100vs100,1300,PAN1,100,140,80,0.01276187,1.74608,50,99,4,77,0.08,0.0315,0.1884,0.7778,0.6864,0.8484,0,0
global,0.01,100vs100,1300,PAN2,100,80,140,0.01276187,3.24356,50,100,0,41,0.0,0.0,0.0714,0.41,0.3187,0.508,0,0
global,0.05,100vs100,1300,PAN2,100,80,140,0.01276187,2.14737,50,100,2,72,0.04,0.011,0.1346,0.72,0.6251,0.7986,0,0
global,0.1,100vs100,1300,PAN2,100,80,140,0.01276187,1.74608,50,100,3,82,0.06,0.0206,0.1622,0.82,0.7333,0.883,0,0
